"PSComputerName","Name","Vendor","Version","InstallDate","InstallDate2","InstallLocation","InstallSource","PackageName","PackageCache","RegOwner","HelpLink","HelpTelephone","URLInfoAbout","URLUpdateInfo","Language","Description","IdentifyingNumber"
"MEGATRON","Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","Microsoft Corporation","9.0.30729.6161","20180222",,,"e:\b7422e629083e52129bba6126606e7d5\","vc_red.msi","C:\Windows\Installer\dafdf00.msi",,,,,,"1033","Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4}"
"MEGATRON","Adobe Refresh Manager","Adobe Systems Incorporated","1.8.0","20180311",,"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\Cache\","Arm_001824265200_6065600319071479623216492031856783015.msi","C:\Windows\Installer\43e62a4c.msi","Windows User","http://www.adobe.com/support/main.html",,"http://www.adobe.com","http://www.adobe.com/products/acrobat/readstep.html","1033","Adobe Refresh Manager","{AC76BA86-0804-1033-1959-001824265200}"
"MEGATRON","Adobe Acrobat Reader DC","Adobe Systems Incorporated","18.011.20038","20180311",,"C:\Program Files (x86)\Adobe\Acrobat Reader DC\","C:\ProgramData\Adobe\Setup\{AC76BA86-7AD7-1033-7B44-AC0F074E4100}\","AcroRead.msi","C:\Windows\Installer\134fa81.msi","Windows User","http://www.adobe.com/support/main.html",,"http://www.adobe.com","http://helpx.adobe.com/reader.html","1033","Adobe Acrobat Reader DC","{AC76BA86-7AD7-1033-7B44-AC0F074E4100}"
"MEGATRON","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","Microsoft Corporation","9.0.30729.6161","20180222",,,"e:\82c859c229391839d572da\","vc_red.msi","C:\Windows\Installer\dafdf0a.msi",,,,,,"1033","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","{9BE518E6-ECC6-35A9-88E4-87755C07200F}"
"MEGATRON","Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005","Microsoft Corporation","12.0.21005","20160415",,,"C:\ProgramData\Package Cache\{A749D8E6-B613-3BE3-8F5F-045C84EBA29B}v12.0.21005\packages\vcRuntimeMinimum_amd64\","vc_runtimeMinimum_x64.msi","C:\Windows\Installer\6dc13.msi",,"http://go.microsoft.com/fwlink/?LinkId=133405",,,,"1033","Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005","{A749D8E6-B613-3BE3-8F5F-045C84EBA29B}"
"MEGATRON","Intel? RealSense? SDK 2014 Runtime  (x64): Core","Intel Corporation","3.1.0.25181","20160415",,"C:\Program Files\Common Files\Intel\RSSDK\v3\","C:\Program Files (x86)\McAfee\Temp\qxzF4F1\","intel_rs_sdk_runtime_intel64_core.msi","C:\Windows\Installer\6dc3b.msi",,,,,,"1033","Intel? RealSense? SDK 2014 Runtime  (x64): Core","{37D41A97-6B02-4C30-8753-85107BE1D674}"
"MEGATRON","Microsoft Virtual Machine Converter","Microsoft Corporation","3.1.0.0","20180114",,,"S:\VMs\_Microsoft Virtual Machine Converter 3.0\","mvmc_setup.msi","C:\Windows\Installer\3b6e0be8.msi",,,,,,"1033","Microsoft Virtual Machine Converter","{332C1E78-1D2F-4A64-B718-68095DC6254B}"
"MEGATRON","Google Update Helper","Google Inc.","1.3.21.115","20150317",,,"C:\Program Files (x86)\Google\Update\1.3.21.115\","GoogleUpdateHelper.msi","C:\Windows\Installer\12f4934.msi",,,,,,"1033","Google Update Helper","{A92DAB39-4E2C-4304-9AB6-BC44E68B55E2}"
"MEGATRON","Synergy (64-bit)","Symless Ltd","1.8.7","20170221",,,"C:\Users\Dan\Desktop\Synergy v1.8.7 - Digital KVM Software ($29 Purchase)\","synergy-v1.8.7-stable-9799e96-Windows-x64.msi","C:\Windows\Installer\4e73590.msi",,,,,,"1033","Synergy (64-bit)","{A6F7C769-DBEC-45A5-AE08-3452895C9C08}"
"MEGATRON","7-Zip 9.20 (x64 edition)","Igor Pavlov","9.20.00.0","20150308",,,"C:\Users\Dan\Desktop\","7-Zip v9.20 (x64).msi","C:\Windows\Installer\5dd4a.msi",,"http://www.7-zip.org/support.html",,"http://www.7-zip.org/","http://www.7-zip.org/download.html","1033","7-Zip 9.20 (x64 edition)","{23170F69-40C1-2702-0920-000001000000}"
"MEGATRON","Google Update Helper","Google Inc.","1.3.33.7","20180222",,,"C:\Program Files (x86)\Google\Update\1.3.33.7\","GoogleUpdateHelper.msi","C:\Windows\Installer\d5e6353.msi",,,,,,"1033","Google Update Helper","{60EC980A-BDA2-4CB6-A427-B07A5498B4CA}"
"MEGATRON","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","Microsoft Corporation","9.0.30729.4148","20150425",,,"m:\686de2223b8914b06b\","vc_red.msi","C:\Windows\Installer\342844.msi",,,,,,"1033","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","{1F1C2DFC-2D24-3E06-BCB8-725134ADF989}"
"MEGATRON","Bonjour","Apple Inc.","2.0.4.0","20150308",,"C:\Program Files (x86)\Bonjour\","C:\Users\Dan\AppData\Local\Temp\VSD3AEA.tmp\Bonjour_x64\","bonjour64.msi","C:\Windows\Installer\5dd54.msi",,"http://www.apple.com/support/","1-800-275-2273","http://www.apple.com","http://www.apple.com/","1033","Bonjour","{E4F5E48E-7155-4CF9-88CD-7F377EC9AC54}"
