Name,Type,Command_Linux,Command_WinRM_PoSh,Command_SMB_PoSh,Command_RPC_Posh,Command_WinRM_WMI,Command_SMB_WMI,Command_RPC_WMI,Command_WinRM_Cmd,Command_SMB_Cmd,Command_RPC_Cmd,Command_WinRS_WMIC,Command_WinRS_CMD,Properties_PoSh,Properties_WMI,Description,ExportFileName
Disk - Physical Info,Hardware,df -h,Invoke-Command -ScriptBlock { Get-Disk },Get-Disk,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_DiskDrive },Get-WmiObject -Class Win32_DiskDrive,Get-WmiObject -Class Win32_DiskDrive,,,,winrs wmic DiskDrive list brief,,"PSComputerName, Number, FriendlyName, Model, Manufacturer, SerialNumber, OperationalStatus, TotalSize, BootFromDisk, IsSystem, IsOfline, IsReadOnly, PartitionStyle, NumberOfPartitions, LargestFreeExtent, Location, UniqueId","PSComputerName, Status, Name, Caption, Description, Model, Manufacturer, SerialNumber, Signature, InterfaceType, MediaType, FirmwareRevision, SectorsPerTrack, Size, TotalCylinders, TotalHeads, TotalSectors, TotalTracks, TracksPerCylinder",Gets one or more disks visible to the operating system.,Disk (Physical Info)
DNS Cache,Network,journalctl -u systemd-resolved,Invoke-Command -ScriptBlock { Get-DnsClientCache },Get-DnsClientCache,,,,,Invoke-Command -ScriptBlock { & ipconfig /displaydns },ipconfig /displaydns,ipconfig /displaydns,,winrs ipconfig /displaydns,"PSComputerName, Entry, RecordName, RecordType, Status, Section, TimeToLive, Data","PSComputerName, * -ErrorAction SilentlyContinue","Retrieves the contents of the DNS client cache.

By default, Windows stores positive responses in the DNS cache for 86,400 seconds (ie, 1 day) and stores negative responses for 300 seconds (5 minutes).",DNS Cache
Drivers,System,lsmod,Invoke-Command -ScriptBlock { Get-WindowsDriver -Online -All },Get-WindowsDriver -Online -All,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_Systemdriver },Get-WmiObject -Class Win32_Systemdriver,Get-WmiObject -Class Win32_Systemdriver,Invoke-Command -ScriptBlock { & driverquery /si /FO CSV },driverquery /si,driverquery /si /FO CSV,,winrs driverquery /si,"PSComputerName, Online, ClassName, Driver, OriginalFileName, ClassDescription, BootCritical, DriverSignature, ProviderName, Date, Version, InBox, LogPath, LogLevel","PSComputerName, State, Status, Started, StartMode, Name, DisplayName, PathName, ExitCode, AcceptPause, AcceptStop, Caption, CreationClassName, Description, DesktopInteract, ErrorControl, InstallDate, ServiceType","Displays driver information in a Windows image.

Any unauthorized or unexpected drivers should be investigated.
",Drivers
Environmental Variables,System,set || env,Invoke-Command -ScriptBlock { Get-ChildItem Env: },Get-ChildItem Env:,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_Environment },Get-WmiObject -Class Win32_Environment,Get-WmiObject -Class Win32_Environment,Invoke-Command -ScriptBlock { & set },set,set,winrs wmic environment list,winrs set,"PSComputerName, PSDrive, Name, Value","PSComputerName, UserName, Name, VariableValue",Gets the environmental variables.,Environmental Variables
EventLog Statistics (Basic),System,,Invoke-Command -ScriptBlock { Get-EventLog -List },Get-EventLog -List,Get-EventLog -List,,,,,,,winrs wmic nteventlog list brief,,"PSComputerName, MaximumKilobytes, MinimumRetentionDays, OverflowAction, @{name=""Entries""; expression={($_.Entries).count}}, Log, EnableRaisingEvents","PSComputerName, * -ErrorAction SilentlyContinue",Get Event Log statistics,EventLog Statistics (Basic)
EventLog Statistics (Detailed),System,cat /var/log/messages,Invoke-Command -ScriptBlock { Get-WinEvent -ListLog * },Get-WinEvent -ListLog *,Get-WinEvent -ListLog *,,,,,,,,,"PSComputerName, IsEnabled, LogMode, MaximumSizeInBytes, RecordCount, LogName, LogType, LogIsolation, FileSize, IsLogFull, LastWriteTime, OldestRecordNumber","PSComputerName, * -ErrorAction SilentlyContinue",Get a more granular breakdown of Event Log statistics,EventLog Statistics (Detailed)
Firewall Port Proxy,,,,,,,,,Invoke-Command -ScriptBlock { & netsh interface portproxy show all },netsh interface portproxy show all,netsh interface portproxy show all,,winrs netsh interface portproxy show all,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets the ports that are forwarded/redirected elsewhere.,Firewall Port Proxy
Firewall Rules,"Network, System",ufw status || firewalld-cmd --list-all,Invoke-Command -ScriptBlock { Get-NetFirewallRule },Get-NetFirewallRule,,,,,Invoke-Command -ScriptBlock { & netsh advfirewall firewall show rule name=all },netsh advfirewall firewall show rule name=all,netsh advfirewall firewall show rule name=all,,winrs netsh advfirewall firewall show rule name=all,"PSComputerName, Enabled, Name, DisplayName, Description, DisplayGroup, Group, Profile, Direction, Action, EdgeTraversalPolicy, LooseSourceMapping, LocalOnlyMapping, Owner, EnforcementStatus, Status, PrimaryStatus, PolicyStoreSource, PolicyStoreSourceType","PSComputerName, * -ErrorAction SilentlyContinue",Retrieves the firewall rules on the endpoint.,Firewall Rules
Firewall Status,"Network, System",ufw status || systemctl status firewalld,Invoke-Command -ScriptBlock { Get-NetFirewallProfile },Get-NetFirewallProfile,,,,,Invoke-Command -ScriptBlock { & netsh advfirewall show allprofiles state },netsh advfirewall show allprofiles state,netsh advfirewall show allprofiles state,,winrs netsh advfirewall show allprofiles state,"PSComputerName, Name, Enabled, DefaultInboundAction, DefaultOutboundAction, AllowInboundRules, AllowLocalFirewallRules, AllowLocalIPsecRules, AllowUserApps, AllowUserPorts, AllowUnicastResponseToMulticast, NotifyOnListen, EnableStealthModeForIPsec, LogFileName, LogMaxsizeKilobytes, LogAllowed, LogBlocked, LogIgnored, DisabledInterfaceAliases","PSComputerName, * -ErrorAction SilentlyContinue",Displays settings that apply to the per-profile configurations of the Windows Firewall with Advanced Security,Firewall Status
Groups (Local),User,cat /etc/group,Invoke-Command -ScriptBlock { Get-LocalGroup },Get-LocalGroup,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_Group -Filter { LocalAccount='True' }},Get-WmiObject -Class Win32_Group -Filter { LocalAccount='True' },Get-WmiObject -Class Win32_Group -Filter { LocalAccount='True' },Invoke-Command -ScriptBlock { & net localgroup },net localgroup,net localgroup,winrs wmic group list,winrs net localgroup,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Name, LocalAccount, Domain, SID, SIDType, Caption, Description",Gets the local security groups on the endpoint.,Groups (Local)
Host Files,"File, Hunt",cat /etc/hosts,Invoke-Command -ScriptBlock { Get-Content C:\Windows\System32\drivers\etc\hosts },Get-Content C:\Windows\System32\drivers\etc\hosts,,,,,Invoke-Command -ScriptBlock { & type C:\Windows\System32\drivers\etc\hosts },type C:\Windows\System32\drivers\etc\hosts,type C:\Windows\System32\drivers\etc\hosts,,winrs type C:\Windows\System32\drivers\etc\hosts,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Directory, Name, Length, CreationTime, LastWriteTime, LastAccessTime, Attributes, Mode","Gets the contents of the Host file, which is a file that maps hostnames to IP addresses.",Host Files
Logical Drives Mapped,"Network, Hunt",lsblk,Invoke-Command -ScriptBlock { Get-PSDrive },Get-PSDrive,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_LogicalDisk },Get-WmiObject -Class Win32_LogicalDisk,Get-WmiObject -Class Win32_LogicalDisk,Invoke-Command -ScriptBlock { & net use },net use,net use,winrs wmic LogicalDisk list brief,winrs net use,"PSComputerName, @{Name='Name';Expression={$_.DeviceID}}, DeviceID, DriveType, 
        @{Name     = 'DriveTypeName'
        Expression = {
            if     ($_.DriveType -eq 0) {'Unknown'}
            elseif ($_.DriveType -eq 1) {'No Root Directory'}
            elseif ($_.DriveType -eq 2) {'Removeable Disk'}
            elseif ($_.DriveType -eq 3) {'Local Drive'}
            elseif ($_.DriveType -eq 4) {'Network Drive'}
            elseif ($_.DriveType -eq 5) {'Compact Disc'}
            elseif ($_.DriveType -eq 6) {'RAM Disk'}
            else                        {'Error: Unknown'}        
        }}, VolumeName, 
    @{L='FreeSpaceGB';E={""{0:N2}"" -f ($_.FreeSpace /1GB)}},
    @{L=""CapacityGB"";E={""{0:N2}"" -f ($_.Size/1GB)}}","PSComputerName, @{Name='Name';Expression={$_.DeviceID}}, DeviceID, DriveType, 
        @{Name     = 'DriveTypeName'
        Expression = {
            if     ($_.DriveType -eq 0) {'Unknown'}
            elseif ($_.DriveType -eq 1) {'No Root Directory'}
            elseif ($_.DriveType -eq 2) {'Removeable Disk'}
            elseif ($_.DriveType -eq 3) {'Local Drive'}
            elseif ($_.DriveType -eq 4) {'Network Drive'}
            elseif ($_.DriveType -eq 5) {'Compact Disc'}
            elseif ($_.DriveType -eq 6) {'RAM Disk'}
            else                        {'Error: Unknown'}        
        }}, VolumeName, 
    @{L='FreeSpaceGB';E={""{0:N2}"" -f ($_.FreeSpace /1GB)}},
    @{L=""CapacityGB"";E={""{0:N2}"" -f ($_.Size/1GB)}}",Get the mapped network drives.,Logical Drives Mapped
Logon Failures,User,lastb,,,,,,,,,,,,"PSComputerName, SourceComputer, Username, IPAddress, Date","PSComputerName, * -ErrorAction SilentlyContinue",Get failed logons from the last 30 days.,Failed Logins - 30 days
Logon Info,"User, Hunt",last || cat /var/log/auth.log,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_NetworkLoginProfile },Get-WmiObject -Class Win32_NetworkLoginProfile,Get-WmiObject -Class Win32_NetworkLoginProfile,Invoke-Command -ScriptBlock { & net config workstation | find /I ' name ' },net config workstation | find /I ' name ',net config workstation | find /I ' name ',winrs wmic netlogin list brief,winrs net config workstation | find /I ' name ',"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Name, LastLogon, LastLogoff, NumberOfLogons, PasswordAge",Gets information about user logon activity.,Logon Info
Logon Sessions,"User, System",who -a,,,,,,,Invoke-Command -ScriptBlock { & query session },query session,query session,,winrs query session,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets session information of the computer.,Logon Sessions
Logon User Status,"User, Hunt",users,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_LoggedOnUser },Get-WmiObject -Class Win32_LoggedOnUser,Get-WmiObject -Class Win32_LoggedOnUser,Invoke-Command -ScriptBlock { & query user },query user,query user,,winrs query user,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Antecedent, Dependent","Gets information about when a user logged on.

",Logon User Status
Memory (Capacity Info),Hardware,free -m || cat /proc/meminfo,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_PhysicalMemoryArray },Get-WmiObject -Class Win32_PhysicalMemoryArray,Get-WmiObject -Class Win32_PhysicalMemoryArray,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Model, Name, MaxCapacity, @{Name='MaxCapacityGigabyte';Expression={.MaxCapacity / 1Mb}}, MemoryDevices",Gets capacity information of the system memory.,Memory (Capacity Info)
Memory (Performance Data),"Hardware, System",,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_PerfRawData_PerfOS_Memory },Get-WmiObject -Class Win32_PerfRawData_PerfOS_Memory,Get-WmiObject -Class Win32_PerfRawData_PerfOS_Memory,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, AvaiLabelBytes, AvaiLabelKBytes, AvaiLabelMBytes, CacheBytes, CacheBytesPeak, CacheFaultsPersec, Caption, CommitLimit, CommittedBytes, DemandZeroFaultsPersec, FreeAndZeroPageListBytes, FreeSystemPageTableEntries, Frequency_Object, Frequency_PerfTime, Frequency_Sys100NS, LongTermAverageStandbyCacheLifetimes, ModifiedPageListBytes, PageFaultsPersec, PageReadsPersec, PagesInputPersec, PagesOutputPersec, PagesPersec, PageWritesPersec, PercentCommittedBytesInUse, PercentCommittedBytesInUse_Base, PoolNonpagedAllocs, PoolNonpagedBytes, PoolPagedAllocs, PoolPagedBytes, PoolPagedResidentBytes, StandbyCacheCoreBytes, StandbyCacheNormalPriorityBytes, StandbyCacheReserveBytes, SystemCacheResidentBytes, SystemCodeResidentBytes, SystemCodeTotalBytes, SystemDriverResidentBytes, SystemDriverTotalBytes, Timestamp_Object, Timestamp_PerfTime, Timestamp_Sys100NS, TransitionFaultsPersec, TransitionPagesRePurposedPersec, WriteCopiesPersec",Gets performance data information of the system memory.,Memory (Performance Data)
Memory (Physical Info),Hardware,dmidecode -t 17,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_PhysicalMemory },Get-WmiObject -Class Win32_PhysicalMemory,Get-WmiObject -Class Win32_PhysicalMemory,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Tag, Capacity, Speed, Manufacturer, PartNumber, SerialNumber",Gets physical information of the system memory.,Memory (Physical Info)
Memory (Utilization),System,"free -t | awk 'NR == 2 {print ""Current Memory Utilization is : "" $3/$2*100}'",,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_OperatingSystem },Get-WmiObject -Class Win32_OperatingSystem,Get-WmiObject -Class Win32_OperatingSystem,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, FreePhysicalMemory,TotalVisibleMemorySize, FreeVirtualMemory, TotalVirtualMemorySize, @{Name=""FreePhysicalMemoryMegabyte"";Expression={$_.FreePhysicalMemory / 1KB}}, @{Name=""TotalVisibleMemorySizeMegabyte"";Expression={$_.TotalVisibleMemorySize / 1KB}}, @{Name=""FreeVirtualMemoryeMegabyte"";Expression={$_.FreeVirtualMemory / 1KB}}, @{Name=""TotalVirtualMemorySizeMegabyte"";Expression={$_.TotalVirtualMemorySize / 1KB}}",Gets utilization information of the system memory.,Memory (Utilization)
Motherboard Info,Hardware,dmidecode -t baseboard,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_BaseBoard },Get-WmiObject -Class Win32_BaseBoard,Get-WmiObject -Class Win32_BaseBoard,,,,winrs wmic baseboard list brief,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Manufacturer, Model, Name, SerialNumber, SKU, Product",Gets Motherboard information.,Motherboard Info
Network Connections TCP,"Network, Hunt",ss -ntlp || netstat -ntlp,Invoke-Command -ScriptBlock { Get-NetTCPConnection },Get-NetTCPConnection,,,,,Invoke-Command -ScriptBlock { & netstat -anob -p tcp },netstat -anob -p tcp,netstat -anob -p tcp,,winrs netstat -anob -p tcp,"PSComputerName, State, LocalAddress, LocalPort, RemoteAddress, RemotePort, OwningProcess, CreationTime, OffloadState, AppliedSetting","PSComputerName, * -ErrorAction SilentlyContinue",Gets TCP Network Connections,Network Connections TCP
Network Connections UDP,"Network, Hunt",ss -nalp || netstat -nalp,Invoke-Command -ScriptBlock { Get-NetUDPEndpoint },Get-NetUDPEndpoint,,,,,Invoke-Command -ScriptBlock { & netstat -anob -p udp },netstat -anob -p udp,netstat -anob -p udp,,winrs netstat -anob -p udp,"PSComputerName, LocalAddress, LocalPort","PSComputerName, * -ErrorAction SilentlyContinue",Gets UDP Network Connections,Network Connections UDP
Network Listening Ports,"Network, Hunt",ss -auntp | grep LISTEN || netstat -auntp | grep LISTEN,Invoke-Command -ScriptBlock { Get-NetTCPConnection | Where-Object {$_.state -match 'Listen'} },Get-NetTCPConnection | Where-Object {$_.state -match 'Listen'},,,,,Invoke-Command -ScriptBlock { & netstat -anob -p tcp | findstr LISTEN },netstat -anob -p tcp | findstr LISTEN,netstat -anob -p tcp | findstr LISTEN,,winrs netstat -anob -p tcp | findstr LISTEN,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets Network Listening Ports,Network Listening Ports
Network Settings,"Network, Hunt, Charts, MAC Address, IP Address, Baseline",ip addr || ifconfig,Invoke-Command -ScriptBlock { Get-NetIPAddress },Get-NetIPAddress,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_NetworkAdapterConfiguration },Get-WmiObject -Class Win32_NetworkAdapterConfiguration,Get-WmiObject -Class Win32_NetworkAdapterConfiguration,Invoke-Command -ScriptBlock { & ipconfig /all },ipconfig /all,ipconfig /all,winrs wmic nicconfig list brief,winrs ipconfig /all,"PSComputerName, IPAddress, InterfaceIndex, InterfaceAlias, AddressFamily, Type, PrefixLength, PrefixOrigin, SuffixOrigin, AddressState, ValidLifetime, PreferredLifetime, SkipAsSource, PolicyStore","PSComputerName, MACAddress, `
            @{Name=""IPAddress"";Expression={$_.IPAddress -join ""; ""}}, `
            @{Name=""IpSubnet"";Expression={$_.IpSubnet -join ""; ""}}, `
            @{Name=""DefaultIPGateway"";Expression={$_.DefaultIPgateway -join ""; ""}}, `
            Description, ServiceName, IPEnabled, DHCPEnabled, DNSHostname, `
            @{Name=""DNSDomainSuffixSearchOrder"";Expression={$_.DNSDomainSuffixSearchOrder -join ""; ""}}, `
            DNSEnabledForWINSResolution, DomainDNSRegistrationEnabled, FullDNSRegistrationEnabled, `
            @{Name=""DNSServerSearchOrder"";Expression={$_.DNSServerSearchOrder -join ""; ""}}, `
            @{Name=""WinsPrimaryServer"";Expression={$_.WinsPrimaryServer -join ""; ""}}, `
            @{Name=""WINSSecondaryServer"";Expression={$_.WINSSecondaryServer -join ""; ""}}",Gets network interface settings.,Network Settings
Network Statistics IPv4 All,Network,ss -s4 || netstat -s,,,,,,,Invoke-Command -ScriptBlock { & netstat -e -p ip },netstat -e -p ip,netstat -e -p ip,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets all host protocol statistics for an IPv4 network.,Network Statistics IPv4 All
Network Statistics IPv4 ICMP,Network,,,,,,,,Invoke-Command -ScriptBlock { & netstat -e -p icmp },netstat -e -p icmp,netstat -e -p icmp,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets host ICMP statistics for an IPv4 network.,Network Statistics IPv4 ICMP
Network Statistics IPv4 TCP,Network,,,,,,,,Invoke-Command -ScriptBlock { & netstat -e -p tcp },netstat -e -p tcp,netstat -e -p tcp,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets host TCP statistics for an IPv4 network.,Network Statistics IPv4 TCP
Network Statistics IPv4 UDP,Network,,,,,,,,Invoke-Command -ScriptBlock { & netstat -e -p udp },netstat -e -p udp,netstat -e -p udp,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets host UDP statistics for an IPv4 network.,Network Statistics IPv4 UDP
Network Statistics IPv6 All,Network,ss -s6 || netstat -s,,,,,,,Invoke-Command -ScriptBlock { & netstat -e -p ipv6 },netstat -e -p ipv6,netstat -e -p ipv6,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets all host protocol statistics for an IPv6 network.,Network Statistics IPv6 All
Network Statistics IPv6 TCP,Network,,,,,,,,Invoke-Command -ScriptBlock { & netstat -e -p tcpv6 },netstat -e -p tcpv6,netstat -e -p tcpv6,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets host TCP statistics for an IPv6 network.,Network Statistics IPv6 TCP
Network Statistics IPv6 UDP,Network,,,,,,,,Invoke-Command -ScriptBlock { & netstat -e -p udpv6 },netstat -e -p udpv6,netstat -e -p udpv6,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets host UDP statistics for an IPv6 network.,Network Statistics IPv6 UDP
Network Statistics IPv6 ICMP,Network,,,,,,,,Invoke-Command -ScriptBlock { & netstat -e -p icmpv6 },netstat -e -p icmpv6,netstat -e -p icmpv6,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, * -ErrorAction SilentlyContinue",Gets host ICMP statistics for an IPv6 network.,Network Statistics IPv6 ICMP
Plug and Play Devices,Hardware,,Invoke-Command -ScriptBlock { Get-PnpDevice },Get-PnpDevice,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_PnPEntity },Get-WmiObject -Class Win32_PnPEntity,Get-WmiObject -Class Win32_PnPEntity,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, InstallDate, Status, Description, Service, DeviceID, @{Name=""HardwareID"";Expression={$_.HardwareID -join ""; ""}}, Manufacturer",Gets information on Plug and Play (PnP) Devices,Plug and Play Devices
Prefetch Files,File,,Invoke-Command -ScriptBlock { Get-ChildItem C:\Windows\Prefetch -Force },Get-ChildItem C:\Windows\Prefetch -Force,,,,,Invoke-Command -ScriptBlock { & dir C:\Windows\Prefetch },dir C:\Windows\Prefetch,dir C:\Windows\Prefetch,,winrs dir C:\Windows\Prefetch,"PSComputerName, Name, Directory, IsReadOnly, CreationTime, LastAccessTime, LastWriteTime, Mode, Attributes","PSComputerName, Directory, Name, Length, CreationTime, LastWriteTime, LastAccessTime, Attributes, Mode",Gets the Prefetch Files. Prefetch files are great artifacts for forensic investigators trying to analyze applications that have been run on a system. Windows creates a prefetch file when an application is run from a particular location for the very first time. This is used to help speed up the loading of applications,Prefetch Files
Printers Mapped,File,lpstat -p,,,,Invoke-Command -ScriptBlock { Get-WmiObject -Class Win32_Printer },Get-WmiObject -Class Win32_Printer,Get-WmiObject -Class Win32_Printer,,,,,,"PSComputerName, * -ErrorAction SilentlyContinue","PSComputerName, Name, Status, Shared, Local, Network, SpoolEnabled, KeepPrintedJobs, DriverName, Default, Location",Gets printer information.,Printers Mapped
