CurrentWindowsEventID,LegacyWindowsEventID,PotentialCriticality,EventSummary
4978,NA,Medium,"During Extended Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation."
4983,NA,Medium,An IPsec Extended Mode negotiation failed. The corresponding Main Mode security association has been deleted.
4984,NA,Medium,An IPsec Extended Mode negotiation failed. The corresponding Main Mode security association has been deleted.
5027,NA,Medium,The Windows Firewall Service was unable to retrieve the security policy from the local storage. The service will continue enforcing the current policy.
5028,NA,Medium,The Windows Firewall Service was unable to parse the new security policy. The service will continue with currently enforced policy.
5029,NA,Medium,The Windows Firewall Service failed to initialize the driver. The service will continue to enforce the current policy.
5030,NA,Medium,The Windows Firewall Service failed to start.
5035,NA,Medium,The Windows Firewall Driver failed to start.
5037,NA,Medium,The Windows Firewall Driver detected critical runtime error. Terminating.
5038,NA,Medium,Code integrity determined that the image hash of a file is not valid. The file could be corrupt due to unauthorized modification or the invalid hash could indicate a potential disk device error.
5120,NA,Medium,OCSP Responder Service Started
5121,NA,Medium,OCSP Responder Service Stopped
5122,NA,Medium,A configuration entry changed in OCSP Responder Service
5123,NA,Medium,A configuration entry changed in OCSP Responder Service
5376,NA,Medium,Credential Manager credentials were backed up.
5377,NA,Medium,Credential Manager credentials were restored from a backup.
5453,NA,Medium,An IPsec negotiation with a remote computer failed because the IKE and AuthIP IPsec Keying Modules (IKEEXT) service is not started.
5480,NA,Medium,IPsec Services failed to get the complete list of network interfaces on the computer. This poses a potential security risk because some of the network interfaces may not get the protection provided by the applied IPsec filters. Use the IP Security Monitor snap-in to diagnose the problem.
5483,NA,Medium,IPsec Services failed to initialize RPC server. IPsec Services could not be started.
5484,NA,Medium,IPsec Services has experienced a critical failure and has been shut down. The shutdown of IPsec Services can put the computer at greater risk of network attack or expose the computer to potential security risks.
5485,NA,Medium,IPsec Services failed to process some IPsec filters on a plug-and-play event for network interfaces. This poses a potential security risk because some of the network interfaces may not get the protection provided by the applied IPsec filters. Use the IP Security Monitor snap-in to diagnose the problem.
6145,NA,Medium,One or more errors occurred while processing security policy in the Group Policy objects.
6273,NA,Medium,Network Policy Server denied access to a user.
6274,NA,Medium,Network Policy Server discarded the request for a user.
6275,NA,Medium,Network Policy Server discarded the accounting request for a user.
6276,NA,Medium,Network Policy Server quarantined a user.
6277,NA,Medium,Network Policy Server granted access to a user but put it on probation because the host did not meet the defined health policy.
6278,NA,Medium,Network Policy Server granted full access to a user because the host met the defined health policy.
6279,NA,Medium,Network Policy Server locked the user account due to repeated failed authentication attempts.
6280,NA,Medium,Network Policy Server unlocked the user account.
NA,640,Medium,General account database changed
NA,619,Medium,Quality of Service Policy changed
24586,NA,Medium,An error was encountered converting volume
24592,NA,Medium,An attempt to automatically restart conversion on volume %2 failed.
24593,NA,Medium,"Metadata write: Volume %2 returning errors while trying to modify metadata. If failures continue, decrypt volume"
24594,NA,Medium,"Metadata rebuild: An attempt to write a copy of metadata on volume %2 failed and may appear as disk corruption. If failures continue, decrypt volume."
4608,512,Low,Windows is starting up.
4609,513,Low,Windows is shutting down.
4610,514,Low,An authentication package has been loaded by the Local Security Authority.
4611,515,Low,A trusted logon process has been registered with the Local Security Authority.
4612,516,Low,"Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits."
4614,518,Low,A notification package has been loaded by the Security Account Manager.
4615,519,Low,Invalid use of LPC port.
4616,520,Low,The system time was changed.
4622,NA,Low,A security package has been loaded by the Local Security Authority.
4624,528540,Low,An account was successfully logged on.
4625,529,Low,An account failed to log on.
4625,530,Low,An account failed to log on.
4625,531,Low,An account failed to log on.
4625,532,Low,An account failed to log on.
4625,533,Low,An account failed to log on.
4625,534,Low,An account failed to log on.
4625,535,Low,An account failed to log on.
4625,536,Low,An account failed to log on.
4625,537,Low,An account failed to log on.
4625,539,Low,An account failed to log on.
4634,538,Low,An account was logged off.
4646,NA,Low,IKE DoS-prevention mode started.
4647,551,Low,User initiated logoff.
4648,552,Low,A logon was attempted using explicit credentials.
4650,NA,Low,An IPsec Main Mode security association was established. Extended Mode was not enabled. Certificate authentication was not used.
4651,NA,Low,An IPsec Main Mode security association was established. Extended Mode was not enabled. A certificate was used for authentication.
4652,NA,Low,An IPsec Main Mode negotiation failed.
4653,NA,Low,An IPsec Main Mode negotiation failed.
4654,NA,Low,An IPsec Quick Mode negotiation failed.
4655,NA,Low,An IPsec Main Mode security association ended.
4656,560,Low,A handle to an object was requested.
NA,561,Low,A handle to an object was requested.
NA,563,Low,Object open for delete
4657,567,Low,A registry value was modified.
4658,562,Low,The handle to an object was closed.
4659,NA,Low,A handle to an object was requested with intent to delete.
4660,564,Low,An object was deleted.
4661,565,Low,A handle to an object was requested.
4662,566,Low,An operation was performed on an object.
4663,567,Low,An attempt was made to access an object.
4664,NA,Low,An attempt was made to create a hard link.
4665,NA,Low,An attempt was made to create an application client context.
4666,NA,Low,An application attempted an operation:
4667,NA,Low,An application client context was deleted.
4668,NA,Low,An application was initialized.
4670,NA,Low,Permissions on an object were changed.
4671,NA,Low,An application attempted to access a blocked ordinal through the TBS.
4672,576,Low,Special privileges assigned to new logon.
4673,577,Low,A privileged service was called.
4674,578,Low,An operation was attempted on a privileged object.
4688,592,Low,A new process has been created.
4689,593,Low,A process has exited.
4690,594,Low,An attempt was made to duplicate a handle to an object.
4691,595,Low,Indirect access to an object was requested.
4694,NA,Low,Protection of auditable protected data was attempted.
4695,NA,Low,Unprotection of auditable protected data was attempted.
4696,600,Low,A primary token was assigned to process.
4697,601,Low,Attempt to install a service
4698,602,Low,A scheduled task was created.
4699,602,Low,A scheduled task was deleted.
4700,602,Low,A scheduled task was enabled.
4701,602,Low,A scheduled task was disabled.
4702,602,Low,A scheduled task was updated.
4704,608,Low,A user right was assigned.
4705,609,Low,A user right was removed.
4707,611,Low,A trust to a domain was removed.
NA,613,Low,IPsec policy agent started
NA,614,Low,IPsec policy agent disabled
NA,615,Low,IPsec policy agent
NA,616,Low,IPsec policy agent encountered a potential serious failure
4709,NA,Low,IPsec Services was started.
4710,NA,Low,IPsec Services was disabled.
4711,NA,Low,May contain any one of the following: PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer.PAStore Engine applied Active Directory storage IPsec policy on the computer.PAStore Engine applied local registry storage IPsec policy on the computer.PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer.PAStore Engine failed to apply Active Directory storage IPsec policy on the computer.PAStore Engine failed to apply local registry storage IPsec policy on the computer.PAStore Engine failed to apply some rules of the active IPsec policy on the computer.PAStore Engine failed to load directory storage IPsec policy on the computer.PAStore Engine loaded directory storage IPsec policy on the computer.PAStore Engine failed to load local storage IPsec policy on the computer.PAStore Engine loaded local storage IPsec policy on the computer.PAStore Engine polled for changes to the active IPsec policy and detected no changes.
4712,NA,Low,IPsec Services encountered a potentially serious failure.
4717,621,Low,System security access was granted to an account.
4718,622,Low,System security access was removed from an account.
4720,624,Low,A user account was created.
NA,625,Low,User Account Type Changed
4722,626,Low,A user account was enabled.
4723,627,Low,An attempt was made to change an account's password.
4725,629,Low,A user account was disabled.
4726,630,Low,A user account was deleted.
4728,632,Low,A member was added to a security-enabled global group.
4729,633,Low,A member was removed from a security-enabled global group.
4730,634,Low,A security-enabled global group was deleted.
4731,635,Low,A security-enabled local group was created.
4732,636,Low,A member was added to a security-enabled local group.
4733,637,Low,A member was removed from a security-enabled local group.
4734,638,Low,A security-enabled local group was deleted.
4738,642,Low,A user account was changed.
4740,644,Low,A user account was locked out.
4741,645,Low,A computer account was changed.
4742,646,Low,A computer account was changed.
4743,647,Low,A computer account was deleted.
4744,648,Low,A security-disabled local group was created.
4745,649,Low,A security-disabled local group was changed.
4746,650,Low,A member was added to a security-disabled local group.
4747,651,Low,A member was removed from a security-disabled local group.
4748,652,Low,A security-disabled local group was deleted.
4749,653,Low,A security-disabled global group was created.
4750,654,Low,A security-disabled global group was changed.
4751,655,Low,A member was added to a security-disabled global group.
4752,656,Low,A member was removed from a security-disabled global group.
4753,657,Low,A security-disabled global group was deleted.
4756,660,Low,A member was added to a security-enabled universal group.
4757,661,Low,A member was removed from a security-enabled universal group.
4758,662,Low,A security-enabled universal group was deleted.
4759,663,Low,A security-disabled universal group was created.
4760,664,Low,A security-disabled universal group was changed.
4761,665,Low,A member was added to a security-disabled universal group.
4762,666,Low,A member was removed from a security-disabled universal group.
4767,671,Low,A user account was unlocked.
4768,672,Low,A Kerberos authentication ticket (TGT) was requested.
4768,673,Low,A Kerberos authentication ticket (TGT) was requested.
4768,674,Low,A Kerberos authentication ticket (TGT) was requested.
4768,675,Low,A Kerberos authentication ticket (TGT) was requested.
4768,676,Low,A Kerberos authentication ticket (TGT) was requested.
4769,673,Low,A Kerberos service ticket was requested.
4770,674,Low,A Kerberos service ticket was renewed.
4771,675,Low,Kerberos pre-authentication failed.
4772,672,Low,A Kerberos authentication ticket request failed.
4774,678,Low,An account was mapped for logon.
4775,679,Low,An account could not be mapped for logon.
4776,680,Low,The domain controller attempted to validate the credentials for an account.
4776,681,Low,The domain controller attempted to validate the credentials for an account.
4777,NA,Low,The domain controller failed to validate the credentials for an account.
4778,682,Low,A session was reconnected to a Window Station.
4779,683,Low,A session was disconnected from a Window Station.
4781,685,Low,The name of an account was changed:
4782,NA,Low,The password hash an account was accessed.
4783,667,Low,A basic application group was created.
4784,NA,Low,A basic application group was changed.
4785,689,Low,A member was added to a basic application group.
4786,690,Low,A member was removed from a basic application group.
4787,691,Low,A nonmember was added to a basic application group.
4788,692,Low,A nonmember was removed from a basic application group.
4789,693,Low,A basic application group was deleted.
4790,694,Low,An LDAP query group was created.
4793,NA,Low,The Password Policy Checking API was called.
4800,NA,Low,The workstation was locked.
4801,NA,Low,The workstation was unlocked.
4802,NA,Low,The screen saver was invoked.
4803,NA,Low,The screen saver was dismissed.
4864,NA,Low,A namespace collision was detected.
4869,773,Low,Certificate Services received a resubmitted certificate request.
4871,775,Low,Certificate Services received a request to publish the certificate revocation list (CRL).
4872,776,Low,Certificate Services published the certificate revocation list (CRL).
4873,777,Low,A certificate request extension changed.
4874,778,Low,One or more certificate request attributes changed.
4875,779,Low,Certificate Services received a request to shut down.
4876,780,Low,Certificate Services backup started.
4877,781,Low,Certificate Services backup completed.
4878,782,Low,Certificate Services restore started.
4879,783,Low,Certificate Services restore completed.
4880,784,Low,Certificate Services started.
4881,785,Low,Certificate Services stopped.
4883,787,Low,Certificate Services retrieved an archived key.
4884,788,Low,Certificate Services imported a certificate into its database.
4886,790,Low,Certificate Services received a certificate request.
4887,791,Low,Certificate Services approved a certificate request and issued a certificate.
4888,792,Low,Certificate Services denied a certificate request.
4889,793,Low,Certificate Services set the status of a certificate request to pending.
4891,795,Low,A configuration entry changed in Certificate Services.
4893,797,Low,Certificate Services archived a key.
4894,798,Low,Certificate Services imported and archived a key.
4895,799,Low,Certificate Services published the CA certificate to Active Directory Domain Services.
4898,802,Low,Certificate Services loaded a template.
4902,NA,Low,The Per-user audit policy table was created.
4904,NA,Low,An attempt was made to register a security event source.
4905,NA,Low,An attempt was made to unregister a security event source.
4909,NA,Low,The local policy settings for the TBS were changed.
4910,NA,Low,The Group Policy settings for the TBS were changed.
4928,NA,Low,An Active Directory replica source naming context was established.
4929,NA,Low,An Active Directory replica source naming context was removed.
4930,NA,Low,An Active Directory replica source naming context was modified.
4931,NA,Low,An Active Directory replica destination naming context was modified.
4932,NA,Low,Synchronization of a replica of an Active Directory naming context has begun.
4933,NA,Low,Synchronization of a replica of an Active Directory naming context has ended.
4934,NA,Low,Attributes of an Active Directory object were replicated.
4935,NA,Low,Replication failure begins.
4936,NA,Low,Replication failure ends.
4937,NA,Low,A lingering object was removed from a replica.
4944,NA,Low,The following policy was active when the Windows Firewall started.
4945,NA,Low,A rule was listed when the Windows Firewall started.
4946,NA,Low,A change has been made to Windows Firewall exception list. A rule was added.
4947,NA,Low,A change has been made to Windows Firewall exception list. A rule was modified.
4948,NA,Low,A change has been made to Windows Firewall exception list. A rule was deleted.
4949,NA,Low,Windows Firewall settings were restored to the default values.
4950,NA,Low,A Windows Firewall setting has changed.
4951,NA,Low,A rule has been ignored because its major version number was not recognized by Windows Firewall.
4952,NA,Low,Parts of a rule have been ignored because its minor version number was not recognized by Windows Firewall. The other parts of the rule will be enforced.
4953,NA,Low,A rule has been ignored by Windows Firewall because it could not parse the rule.
4954,NA,Low,Windows Firewall Group Policy settings have changed. The new settings have been applied.
4956,NA,Low,Windows Firewall has changed the active profile.
4957,NA,Low,Windows Firewall did not apply the following rule:
4958,NA,Low,Windows Firewall did not apply the following rule because the rule referred to items not configured on this computer:
4979,NA,Low,IPsec Main Mode and Extended Mode security associations were established.
4980,NA,Low,IPsec Main Mode and Extended Mode security associations were established.
4981,NA,Low,IPsec Main Mode and Extended Mode security associations were established.
4982,NA,Low,IPsec Main Mode and Extended Mode security associations were established.
4985,NA,Low,The state of a transaction has changed.
5024,NA,Low,The Windows Firewall Service has started successfully.
5025,NA,Low,The Windows Firewall Service has been stopped.
5031,NA,Low,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
5032,NA,Low,Windows Firewall was unable to notify the user that it blocked an application from accepting incoming connections on the network.
5033,NA,Low,The Windows Firewall Driver has started successfully.
5034,NA,Low,The Windows Firewall Driver has been stopped.
5039,NA,Low,A registry key was virtualized.
5040,NA,Low,A change has been made to IPsec settings. An Authentication Set was added.
5041,NA,Low,A change has been made to IPsec settings. An Authentication Set was modified.
5042,NA,Low,A change has been made to IPsec settings. An Authentication Set was deleted.
5043,NA,Low,A change has been made to IPsec settings. A Connection Security Rule was added.
5044,NA,Low,A change has been made to IPsec settings. A Connection Security Rule was modified.
5045,NA,Low,A change has been made to IPsec settings. A Connection Security Rule was deleted.
5046,NA,Low,A change has been made to IPsec settings. A Crypto Set was added.
5047,NA,Low,A change has been made to IPsec settings. A Crypto Set was modified.
5048,NA,Low,A change has been made to IPsec settings. A Crypto Set was deleted.
5049,NA,Low,An IPsec Security Association was deleted.
5050,NA,Low,An attempt to programmatically disable the Windows Firewall using a call to InetFwProfile.FirewallEnabled(False)
5051,NA,Low,A file was virtualized.
5056,NA,Low,A cryptographic self test was performed.
5057,NA,Low,A cryptographic primitive operation failed.
5058,NA,Low,Key file operation.
5059,NA,Low,Key migration operation.
5060,NA,Low,Verification operation failed.
5061,NA,Low,Cryptographic operation.
5062,NA,Low,A kernel-mode cryptographic self test was performed.
5063,NA,Low,A cryptographic provider operation was attempted.
5064,NA,Low,A cryptographic context operation was attempted.
5065,NA,Low,A cryptographic context modification was attempted.
5066,NA,Low,A cryptographic function operation was attempted.
5067,NA,Low,A cryptographic function modification was attempted.
5068,NA,Low,A cryptographic function provider operation was attempted.
5069,NA,Low,A cryptographic function property operation was attempted.
5070,NA,Low,A cryptographic function property modification was attempted.
5125,NA,Low,A request was submitted to the OCSP Responder Service
5126,NA,Low,Signing Certificate was automatically updated by the OCSP Responder Service
5127,NA,Low,The OCSP Revocation Provider successfully updated the revocation information
5136,566,Low,A directory service object was modified.
5137,566,Low,A directory service object was created.
5138,NA,Low,A directory service object was undeleted.
5139,NA,Low,A directory service object was moved.
5140,NA,Low,A network share object was accessed.
5141,NA,Low,A directory service object was deleted.
5152,NA,Low,The Windows Filtering Platform blocked a packet.
5153,NA,Low,A more restrictive Windows Filtering Platform filter has blocked a packet.
5154,NA,Low,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
5155,NA,Low,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.
5156,NA,Low,The Windows Filtering Platform has allowed a connection.
5157,NA,Low,The Windows Filtering Platform has blocked a connection.
5158,NA,Low,The Windows Filtering Platform has permitted a bind to a local port.
5159,NA,Low,The Windows Filtering Platform has blocked a bind to a local port.
5378,NA,Low,The requested credentials delegation was disallowed by policy.
5440,NA,Low,The following callout was present when the Windows Filtering Platform Base Filtering Engine started.
5441,NA,Low,The following filter was present when the Windows Filtering Platform Base Filtering Engine started.
5442,NA,Low,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.
5443,NA,Low,The following provider context was present when the Windows Filtering Platform Base Filtering Engine started.
5444,NA,Low,The following sublayer was present when the Windows Filtering Platform Base Filtering Engine started.
5446,NA,Low,A Windows Filtering Platform callout has been changed.
5447,NA,Low,A Windows Filtering Platform filter has been changed.
5448,NA,Low,A Windows Filtering Platform provider has been changed.
5449,NA,Low,A Windows Filtering Platform provider context has been changed.
5450,NA,Low,A Windows Filtering Platform sublayer has been changed.
5451,NA,Low,An IPsec Quick Mode security association was established.
5452,NA,Low,An IPsec Quick Mode security association ended.
5456,NA,Low,PAStore Engine applied Active Directory storage IPsec policy on the computer.
5457,NA,Low,PAStore Engine failed to apply Active Directory storage IPsec policy on the computer.
5458,NA,Low,PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer.
5459,NA,Low,PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer.
5460,NA,Low,PAStore Engine applied local registry storage IPsec policy on the computer.
5461,NA,Low,PAStore Engine failed to apply local registry storage IPsec policy on the computer.
5462,NA,Low,PAStore Engine failed to apply some rules of the active IPsec policy on the computer. Use the IP Security Monitor snap-in to diagnose the problem.
5463,NA,Low,PAStore Engine polled for changes to the active IPsec policy and detected no changes.
5464,NA,Low,"PAStore Engine polled for changes to the active IPsec policy, detected changes, and applied them to IPsec Services."
5465,NA,Low,PAStore Engine received a control for forced reloading of IPsec policy and processed the control successfully.
5466,NA,Low,"PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory cannot be reached, and will use the cached copy of the Active Directory IPsec policy instead. Any changes made to the Active Directory IPsec policy since the last poll could not be applied."
5467,NA,Low,"PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory can be reached, and found no changes to the policy. The cached copy of the Active Directory IPsec policy is no longer being used."
5468,NA,Low,"PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory can be reached, found changes to the policy, and applied those changes. The cached copy of the Active Directory IPsec policy is no longer being used."
5471,NA,Low,PAStore Engine loaded local storage IPsec policy on the computer.
5472,NA,Low,PAStore Engine failed to load local storage IPsec policy on the computer.
5473,NA,Low,PAStore Engine loaded directory storage IPsec policy on the computer.
5474,NA,Low,PAStore Engine failed to load directory storage IPsec policy on the computer.
5477,NA,Low,PAStore Engine failed to add quick mode filter.
5478,NA,Low,IPsec Services has started successfully.
5479,NA,Low,IPsec Services has been shut down successfully. The shutdown of IPsec Services can put the computer at greater risk of network attack or expose the computer to potential security risks.
5632,NA,Low,A request was made to authenticate to a wireless network.
5633,NA,Low,A request was made to authenticate to a wired network.
5712,NA,Low,A Remote Procedure Call (RPC) was attempted.
5888,NA,Low,An object in the COM+ Catalog was modified.
5889,NA,Low,An object was deleted from the COM+ Catalog.
5890,NA,Low,An object was added to the COM+ Catalog.
6008,NA,Low,The previous system shutdown was unexpected
6144,NA,Low,Security policy in the Group Policy objects has been applied successfully.
6272,NA,Low,Network Policy Server granted access to a user.
24577,NA,Low,Encryption of volume started
24578,NA,Low,Encryption of volume stopped
24579,NA,Low,Encryption of volume completed
24580,NA,Low,Decryption of volume started
24581,NA,Low,Decryption of volume stopped
24582,NA,Low,Decryption of volume completed
24583,NA,Low,Conversion worker thread for volume started
24584,NA,Low,Conversion worker thread for volume temporarily stopped
24588,NA,Low,The conversion operation on volume %2 encountered a bad sector error. Please validate the data on this volume
24595,NA,Low,Volume %2 contains bad clusters. These clusters will be skipped during conversion.
24621,NA,Low,Initial state check: Rolling volume conversion transaction on %2.
