Command,Description
htop,Interactive process viewer
iconv,Convert the character set of a file
id,Print user and group id's
if,Conditionally perform a command
ifconfig,Configure a network interface
ifdown,Stop a network interface
ifup,Start a network interface up
import,Capture an X server screen and save the image to file
install,Copy files and set attributes
iostat,Report CPU and i/o statistics
ip,"Routing, devices and tunnels"
jobs,List active jobs 
join,Join lines on a common field
kill,Kill a process by specifying its PID
killall,Kill processes by name
less,Display output one screen at a time
let,Perform arithmetic on shell variables 
link,Create a link to a file
ln,Create a symbolic link to a file
local,Create a function variable 
locate,Find files
logname,Print current login name
logout,Exit a login shell 
look,Display lines beginning with a given string
lpc,Line printer control program
lpr,Print files
lprint,Print a file
lprintd,Delete a print job
lprintq,List the print queue
lprm,Remove jobs from the print queue
ls,List information about file(s)
lsattr,List file attributes on a Linux second extended file system
lsblk,List block devices
lsof,List open files
lspci,List all PCI devices
make,Recompile a group of programs
man,Help manual
mapfile,Read lines from standard input into an indexed array variable 
mkdir,Create new folder(s)
mkfifo,Make FIFOs (named pipes)
mkfile,Make a file
mkisofs,Create a hybrid ISO9660/JOLIET/HFS filesystem
mknod,Make block or character special files
mktemp,Make a temporary file
mmv,Mass Move and rename (files)
more,Display output one screen at a time
most,Browse or page through a text file
mount,Mount a file system
mtools,Manipulate MS-DOS files
mtr,Network diagnostics (traceroute/ping)
mv,Move or rename files or directories
nc,"Netcat, read and write data across networks"
netstat,Networking connections/stats
nft,nftables for packet filtering and classification
nice,Set the priority of a command or job
nl,Number lines and write files
nohup,Run a command immune to hangups
notify-send,Send desktop notifications
nslookup,Query Internet name servers interactively
op,Operator access
open,Open a file in its default application
passwd,Modify a user password
paste,Merge lines of files
pathchk,Check file name portability
Perf,Performance analysis tools for Linux
pgrep,List processes by name
ping,Test a network connection
pkill,Kill processes by name
popd,Restore the previous value of the current directory
pr,Prepare files for printing
printcap,Printer capability database
printenv,Print environment variables
printf,Format and print data 
ps,Process status
pushd,Save and then change the current directory
pv,Monitor the progress of data through a pipe
pwd,Print Working Directory
quota,Display disk usage and limits
quotacheck,Scan a file system for disk usage
ram,ram disk device
rar,Archive files with compression
rcp,Copy files between two machines
read,Read a line from standard input 
readarray,Read from stdin into an array variable 
readonly,Mark variables/functions as readonly
reboot,Reboot the system
remsync,Synchronize remote files via email
rename,Rename files
renice,Alter priority of running processes
return,Exit a shell function
rev,Reverse lines of a file
rm,Remove files
rmdir,Remove folder(s)
rsync,Remote file copy (Synchronize file trees)
scp,Secure copy (remote file copy)
screen,"Multiplex terminal, run remote shells via ssh"
sdiff,Merge two files interactively
sed,Stream Editor
select,Accept user choices via keyboard input
seq,Print numeric sequences
set,Manipulate shell variables and functions
sftp,Secure File Transfer Program
shift,Shift positional parameters
shopt,Shell Options
shuf,Generate random permutations
shutdown,Shutdown or restart linux
sleep,Delay for a specified time
slocate,Find files
sort,Sort text files
source,Run commands from a file '.'  
split,Split a file into fixed-size pieces
ss,Socket Statistics
ssh,Secure Shell client (remote login program)
stat,Display file or file system status
strace,Trace system calls and signals
su,Substitute user identity
sudo,Execute a command as another user
sum,Print a checksum for a file
suspend,Suspend execution of this shell 
sync,Synchronize data on disk with memory
tail,Output the last part of a file
tar,"Store, list or extract files in an archive"
tee,Redirect output to multiple files
test,Evaluate a conditional expression
time,Measure Program running time
timeout,Run a command with a time limit
times,User and system times
tmux,Terminal multiplexer
top,List processes running on the system
touch,Change file timestamps
tput,"Set terminal-dependent capabilities, color, position"
tr,"Translate, squeeze, and/or delete characters"
traceroute,Trace Route to Host
trap,Execute a command when the shell receives a signal 
tsort,Topological sort
tty,Print filename of terminal on stdin
type,Describe a command 
ulimit,Limit user resources 
umask,Users file creation mask
umount,Unmount a device
unalias,Remove an alias 
uname,Print system information
unexpand,Convert spaces to tabs
uniq,Uniquify files
units,Convert units from one scale to another
unix2dos,UNIX to Windows or MAC text file format converter
unrar,Extract files from a rar archive
unset,Remove variable or function names
unshar,Unpack shell archive scripts
until,Execute commands (until error)
uptime,Show uptime
useradd,Create new user account
userdel,Delete a user account
usermod,Modify user account
users,List users currently logged in
uudecode,Decode a file created by uuencode
uuencode,Encode a binary file
v,Verbosely list directory contents ('ls -l -b')
vdir,Verbosely list directory contents ('ls -l -b')
vi,Text Editor
vmstat,Report virtual memory statistics
w,Show who is logged on and what they are doing
wait,Wait for a process to complete 
watch,Execute/display a program periodically
wc,"Print byte, word, and line counts"
wget,"Retrieve web pages or files via HTTP, HTTPS or FTP"
whereis,"Search the user's $path, man pages and source files for a program"
which,Search the user's $path for a program file
while,Execute commands
who,Print all usernames currently logged in
whoami,Print the current user id and name ('id -un')
write,Send a message to another user
xargs,"Execute utility, passing constructed argument list(s)"
xdg-open,Open a file or URL in the user's preferred application.
xxd,Make a hexdump or do the reverse
xz,Compress or decompress .xz and .lzma files
yes,Print a string until interrupted
zip,Package and compress (archive) files
FALSE,"Do nothing, unsuccessfully"
TRUE,"Do nothing, successfully"
!!,Run the last command again
###,Comment / Remark
&,Start a new process in the background
.,Run a command script in the current shell
