Process Name,Name,Image Path,Parent Process,Number of Instances,User Account,Start Time,Description,Notes,Recommended
MSASCuiL.exeMicrosoft Antivirus Security Center User Interface Logo,,,,,,,"The genuine MSASCuiL.exe file is a software component of Microsoft Windows 10 by Microsoft Corporation.
Microsoft created the file ""MSASCuiL.exe"" in 2016 for the ""Redstone 1"" anniversary update of Windows 10. Its function is (or was) to display the icon for the Windows Defender antivirus program in the Windows taskbar, also known as the Windows Defender Center. (As early as May 2017, users alleged it has been merged into SecurityHealthService.) Residing in ""C:\Program Files\Windows Defender"", it runs at startup and can be disabled through Task Manager. Care must be taken not to confuse it with ""msascui.exe"", which is Windows Defender itself. On any older Windows OS, (8.1/8/7/Vista/XP), or in another location, it is disguised malware. Microsoft Corporation, located since 1979 in Redmond, Washington, USA, was founded April 4, 1975, in Albequerque, New Mexico, USA, by Paul Allen and Bill Gates. It is today the world's largest software maker by revenue despite repeated litigation and regulatory action in multiple countries.","The original MSASCuiL.exe from Microsoft is an important part of Windows, but often causes problems. The MSASCuiL.exe file is located in a subfolder of ""C:\Program Files"" (common is C:\Program Files\Windows Defender\). Known file sizes on Windows 10/8/7/XP are 631,808 bytes (34% of all occurrences), 630,168 bytes and 6 more variants. https://www.file.net/process/msascuil.exe.html 
MSASCuiL.exe is a Windows system file. MSASCuiL.exe is a trustworthy file from Microsoft. The program has no visible window. The file is digitally signed. MSASCuiL.exe is able to monitor applications. Therefore the technical security rating is 3% dangerous; however you should also read the user reviews.","If MSASCuiL.exe is located in a subfolder of the user's profile folder, the security rating is 85% dangerous. The file size is 2,362,368 bytes (11% of all occurrences), 4,408,320 bytes and 7 more variants. There is no file information. The program is not visible. The file is not a Windows core file. MSASCuiL.exe is able to manipulate other programs, record keyboard and mouse inputs and monitor applications.
If MSASCuiL.exe is located in the Windows folder for temporary files, the security rating is 68% dangerous. The file size is 1,287,168 bytes. The program has no visible window. It is not a Windows core file. MSASCuiL.exe is able to monitor applications.
Uninstalling this variant: If there are any problems with MSASCuiL.exe, you may want to do the following:
turn to the software developer, SadeemPC, for advice
uninstall Internet Download Manager software via Windows Control Panel/Add or Remove Programs (Windows XP) or Programs and Features (Windows 10/8/7)"
msiexec.exe,Microsoft Installer Executable,%SystemRoot%\System32\msiexec.exe,,,,,"The genuine msiexec.exe file is a software component of Microsoft Windows by Microsoft.
Microsoft Windows is an operating system. Windows Installer is an application programming and software component of Microsoft Windows. Msiexec.exe is part of the Windows Installer utility and is used to install MSI and MSP packages, and is completely safe for your PC.

Previously known as Microsoft Installer, the Windows Installer is an important part of the Windows OS that is designed to install, maintain and remove software. The installation information is included in the installation packages, related databases and COM structured storages commonly referred to as MSI files. This utility gives the user complete control over several processes such as installing, display and logging options, and although this Windows service can be disabled, doing so may affect the services that depend on it.","The original msiexec.exe from Microsoft is an important part of Windows, but often causes problems. Msiexec.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 73,216 bytes (44% of all occurrences), 78,848 bytes and 22 more variants. https://www.file.net/process/msiexec.exe.html 
It is a service, and the service name is msiserver: Adds, modifies, and removes applications provided as a Windows Installer (*.msi) package. If this service is disabled, any services that explicitly depend on it will fail to start.
The program is not visible. Msiexec.exe is a trustworthy file from Microsoft. Therefore the technical security rating is 8% dangerous, however you should also read the user reviews.","If msiexec.exe is located in a subfolder of C:\Windows, the security rating is 5% dangerous. The file size is 73,216 bytes (58% of all occurrences), 59,904 bytes and 8 more variants. The program is not visible. The file is a trustworthy file from Microsoft.
If msiexec.exe is located in a subfolder of ""C:\Program Files"", the security rating is 80% dangerous. The file size is 1,572,864 bytes (50% of all occurrences) or 454,656 bytes. The program is not visible. Msiexec.exe is not a Windows system file. Msiexec.exe is able to manipulate other programs.
If msiexec.exe is located in a subfolder of the user's profile folder, the security rating is 59% dangerous. The file size is 1,188,352 bytes (50% of all occurrences) or 889,856 bytes."
MsMpEng.exe,Microsoft Malware Protection Engine,,,,,,"The genuine MsMpEng.exe file is a software component of Windows Defender by Microsoft Corporation.
""MsMpEng.exe"" is Microsoft's core antimalware executable. It performs the actual background real-time protective scanning for malware, viruses, and worms of files that it detects as having been created or updated recently. It has been used since Windows XP both in consumer-oriented products, (Windows Defender, Microsoft Security Essentials), and by Microsoft enterprise products designed for managed software or server environments such as Forefront Client Security (FCS), meant only for Windows Server, not endpoint Windows. High CPU usage is a well-known side-effect of ""msmpeng.exe"", often a major reason that users install third-party antimalware products. When such products are installed, Windows Defender is deactivated. It installs in a subdirectory of ""C:\Program Files"" whose name depends on the OS version: ""\Microsoft Security Client"" for XP/Vista/Win7, or ""\Windows Defender"" for Win8/8.1/10. It is uninstalled if the overall security product name is removed via the Control Panel.","MsMpEng.exe is not essential for the Windows OS and causes relatively few problems. MsMpEng.exe is located in a subfolder of ""C:\Program Files""�primarily C:\Program Files\Microsoft Security Client\. Known file sizes on Windows 10/8/7/XP are 103,168 bytes (14% of all occurrences), 103,376 bytes and 91 more variants. https://www.file.net/process/msmpeng.exe.html 
The process runs as service WinDefend. The service helps protect users from malware and other potentially unwanted software.
The program has no visible window. MsMpEng.exe is certified by a trustworthy company. MsMpEng.exe is not a Windows system file. Therefore the technical security rating is 36% dangerous, but you should also take into account the user reviews.",
ntoskrnl.exe,NT Operating System Kernel,%SystemRoot%\Windows\System32\ntoskrnl.exe,,,,,"The genuine ntoskrnl.exe file is a software component of Microsoft Windows by Microsoft.
Microsoft Windows is an operating system. Ntoskrnl.exe is a kernel image file that is a fundamental system component. This should not be removed.

The Windows NT operating system kernel, referred to as kernel image, is responsible for several system services such as process and memory management, hardware virtualization among others. It contains the kernel, executive, cache manager, memory manager, security reference monitor and scheduler. This NT operating system kernel is the central component of the Windows NT operating system, and serves as a bridge between applications and data processing performed at the hardware level.","The original ntoskrnl.exe is an important part of Windows and rarely causes problems. Ntoskrnl.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 3,945,704 bytes (21% of all occurrences), 3,945,192 bytes and 12 more variants. https://www.file.net/process/ntoskrnl.exe.html 
The file is a Windows system file. The program is not visible. The file has a digital signature. The file is a Microsoft signed file. ntoskrnl.exe appears to be a compressed file. Therefore the technical security rating is 0% dangerous; but you should also compare this rating with the user reviews.",
rundll32.exe,Run Dynamic Link Library 32-bit,%SystemRoot%\System32\rundll32.exe,,,,,"The genuine rundll32.exe file is a software component of Microsoft Windows by Microsoft.
Microsoft Windows is an operating system. RunDLL is a Windows command line utility program. and an essential Windows component. This is a critical Windows component and should not be removed unless found in a directory other than ""C:\Windows"".

Rundll32.exe allows users to trigger a function exported from a 32 bit DLL. It is written to exclusively trigger functions from those DLL's that are explicitly written to be called by it. Rundll was originally designed to be used internally at Microsoft, but is now available for generic use. Rundll32 loads and runs 32-bit DLLs, and distributes several DLL libraries within the memory of the file system. It is an important component of certain Windows operating systems, and removing it may cause errors.","The original rundll32.exe from Microsoft is an important part of Windows, but often causes problems. Rundll32.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 33,280 bytes (44% of all occurrences), 44,544 bytes and 30 more variants. https://www.file.net/process/rundll32.exe.html 
The process is a service, and the service name is bff42538.
The file is a Microsoft signed file. The program is not visible. Therefore the technical security rating is 9% dangerous, but you should also take into account the user reviews.","If rundll32.exe is located in a subfolder of C:\Windows, the security rating is 7% dangerous. The file size is 44,544 bytes (74% of all occurrences), 45,056 bytes and 8 more variants. The program is not visible. The file is a Windows core system file. It is a Microsoft signed file.
If rundll32.exe is located in a subfolder of the user's profile folder, the security rating is 69% dangerous. The file size is 24,576 bytes (16% of all occurrences), 120,992 bytes and 20 more variants. The rundll32.exe file is not a Windows system file. There is no file information. The program is not visible. The application starts when Windows starts (see Registry key: MACHINE\Run, Run, MACHINE\RunOnce, User Shell Folders, DEFAULT\Runonce, DEFAULT\Run, RunOnce). Rundll32.exe is able to record keyboard and mouse inputs and monitor applications.
If rundll32.exe is located in a subfolder of ""C:\Program Files"", the security rating is 68% dangerous. The file size is 359,936 bytes (25% of all occurrences), 5,541,945 bytes, 1,067,520 bytes or 290,816 bytes.
If rundll32.exe is located in a subfolder of Windows folder for temporary files, the security rating is 48% dangerous. The file size is 310,359 bytes (75% of all occurrences) or 44,544 bytes.
If rundll32.exe is located in the C:\Windows folder, the security rating is 40% dangerous. The file size is 44,544 bytes (50% of all occurrences) or 32,768 bytes.
If rundll32.exe is located in a subfolder of C:\Windows\System32, the security rating is 52% dangerous. The file size is 376,851 bytes (50% of all occurrences) or 256,512 bytes.
If rundll32.exe is located in a subfolder of C:\, the security rating is 24% dangerous. The file size is 44,544 bytes.
If rundll32.exe is located in the Windows folder for temporary files, the security rating is 54% dangerous. The file size is 20,480 bytes."
services.exe,Services,%SystemRoot%\System32\services.exe,wininit.exe,One,Local System,"Within seconds of boot time for the first 2 instances (for Session 0 and 1). Start times for additional instances occur as new sessions are created, although often only Sessions 0 and 1 are created. ","Implements the Unified Background Process Manager (UBPM), which is responsible for background activities such as services and scheduled tasks. Services.exe also implements the Service Control Manager (SCM), which specifically handles the loading of services and device drivers marked for auto-start. In addition, once a user has successfully logged on interactively, the SCM (services.exe) considers the boot successful and sets the Last Known Good control set (HKLM\SYSTEM\Select\LastKnownGood) to the value of the CurrentControlSet.",,
smss.exe,Sessions Manager Subsystem,%SystemRoot%\System32\smss.exe,System,One master instance and another child instance per session. Children exit after creating their session.,Local System,Within seconds of boot time for the master instance,"The genuine smss.exe file is a software component of Microsoft Windows by Microsoft.
Microsoft Windows is an operating system. Sessions Manager Subsystem is Windows process that creates environment variables. Smss.exe is a legitimate Windows process associated with the Sessions Manager Subsystem, and does not pose a threat to your PC.

Session Manager Subsystem is a component of the Microsoft Windows NT range of operating systems, and was first included with Windows NT 3.1. It is triggered as a startup process with the aforementioned operating systems and is designed to create environment variables, DOS device mappings and start the user and kernel modes of the Win32 subsystem. The program, when executed with the Smss.exe file, resides in the memory and runs in the Windows Task Manager.","The original smss.exe from Microsoft is an important part of Windows, but often causes problems. The file smss.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 50,688 bytes (54% of all occurrences), 69,632 bytes and 7 more variants. https://www.file.net/process/smss.exe.html 
The program has no visible window. The smss.exe file is a trustworthy file from Microsoft. Therefore the technical security rating is 5% dangerous; but you should also compare this rating with the user reviews.","If smss.exe is located in a subfolder of ""C:\Program Files"", the security rating is 92% dangerous. The file size is 182,272 bytes (64% of all occurrences), 585,728 bytes and 9 more variants. The software has no file description. The file is not a Windows core file. The program is not visible. The program listens for or sends data on open ports to a LAN or the Internet.
If smss.exe is located in a subfolder of the user's profile folder, the security rating is 75% dangerous. The file size is 196,608 bytes (13% of all occurrences), 60,252 bytes and 12 more variants. Smss.exe is not a Windows system file. There is no file information. The process starts when Windows starts (see Registry key: Run, MACHINE\Run, User Shell Folders, Userinit, Winlogon\Shell, DEFAULT\Run, TaskScheduler). The program is not visible. Smss.exe is able to connect to the Internet, monitor applications and manipulate other programs.
If smss.exe is located in a subfolder of C:\Windows, the security rating is 68% dangerous. The file size is 13,179,660 bytes (25% of all occurrences), 1,367,040 bytes and 5 more variants.
If smss.exe is located in the C:\Windows folder, the security rating is 72% dangerous. The file size is 296,960 bytes (28% of all occurrences), 627,592 bytes and 4 more variants.
If smss.exe is located in the user's profile folder, the security rating is 87% dangerous. The file size is 254,976 bytes (25% of all occurrences), 223,744 bytes, 224,256 bytes or 151 bytes.
If smss.exe is located in a subfolder of C:\Windows\System32, the security rating is 85% dangerous. The file size is 114,688 bytes (50% of all occurrences) or 81,792 bytes.
If smss.exe is located in the Windows folder for temporary files, the security rating is 74% dangerous. The file size is 171,008 bytes.
If smss.exe is located in the user's ""Documents"" folder, the security rating is 74% dangerous. The file size is 425,984 bytes.
If smss.exe is located in C:\, the security rating is 66% dangerous. The file size is 184,320 bytes."
svchost.exe,Service Host,%SystemRoot%\System32\svchost.exe,services.exe,Five or more,"Varies depending on svchost instance, though it typically will be Local System, Network Service, or Local Service accounts. Beginning with Windows 10, an instance will start under the user context at logon (with command line �-k UnistackSvcGroup�).","Typically within seconds of boot time. However, services can be started after boot, which might result in new instances of svchost.exe well after boot time.","The generic host process for Windows Services. It is used for running service DLLs. Windows will run multiple instances of svchost.exe, each using a unique �-k� parameter for grouping similar services. Typical �-k� parameters include BTsvcs, DcomLaunch, RPCSS, LocalServiceNetworkRestricted, netsvcs, LocalService, NetworkService, LocalServiceNoNetwork, secsvcs, and LocalServiceAndNoImpersonation. Malware authors often take advantage of the ubiquitous nature of svchost.exe and use it either directly or indirectly to hide their malware. They use it directly by installing the malware as a service in a legitimate instance of svchost.exe. Alternatively, they use it indirectly by trying to blend in with legitimate instances of svchost.exe, either by slightly misspelling the name (e.g., scvhost.exe) or spelling it correctly but placing it in a directory other than System32. Keep in mind that a legitimate svchost.exe should always run from %SystemRoot%\System32, should have services.exe as its parent, and should host at least one service. Also, on default installations of Windows 7 and later, all service executables and DLLs are signed by Microsoft.","The original taskhostw.exe from Microsoft is an important part of Windows, but often causes problems. Taskhostw.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 71,792 bytes (50% of all occurrences), 71,280 bytes or 71,848 bytes. https://www.file.net/process/taskhostw.exe.html 
The taskhostw.exe file is a Windows system file. It is a trustworthy file from Microsoft. The program has no visible window. Therefore the technical security rating is 5% dangerous; however you should also read the user reviews.
Often mimicked (scvhost, svch0st, etc.) When they are mimicked they will not be running as children to services.exe.
Command Line: svchost.exe -k <name>
     -k <name> values should exist within the Software\Microsoft\Windows NT\CurrentVersion\Svchost registry key","If taskhostw.exe is located in a subfolder of ""C:\Program Files"", the security rating is 69% dangerous. The file size is 1,705,984 bytes (66% of all occurrences) or 1,113,088 bytes. The program has no visible window. It is not a Windows system file. Taskhostw.exe is able to record keyboard and mouse inputs, monitor applications and manipulate other programs.
If taskhostw.exe is located in a subfolder of the user's profile folder, the security rating is 81% dangerous. The file size is 1,576,960 bytes (33% of all occurrences), 1,379,328 bytes or 1,385,980 bytes. There is no description of the program. The program is not visible. It is not a Windows core file. Taskhostw.exe is able to monitor applications.
Often times when malware uses the actual svchost.exe to load their malicious service they will not include -k command line parameters and be running under a username that does not match on of the three listed in bullet 3."
System,System,N/A � Not generated from an executable image ,None,One, Local System,At boot time,"The System process is responsible for most kernel-mode threads. Modules run under System are primarily drivers (.sys files), but also several important DLLs as well as the kernel executable, ntoskrnl.exe.",PID of 4,
taskhost.exe,Task Host,%SystemRoot%\System32\taskhost.exe,services.exe,One or more,Multiple taskhost.exe processes are normal. One or more may be owned by logged-on users and/or by local service accounts.,Start times vary greatly,"The genuine taskhost.exe file is a software component of Microsoft Windows by Microsoft.
Microsoft Windows is an operating system. Task Host manages pop-up windows when users try to shut them down in a Windows OS environment. Taskhost.exe triggers the Task Host process and does not pose any threat to your PC.

Task Host is a Windows process that is designed to alert users when closing dialog boxes. It is generally initiated during rebooting and shutting down a PC, and checks to see if all programs were closed properly. Taskhost.exe is used by Windows as the host to run all DLL-based services and is similar in functionality to svchost.exe.","The original taskhost.exe from Microsoft is an important part of Windows, but often causes problems. Taskhost.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 49,152 bytes (98% of all occurrences) or 54,272 bytes. https://www.file.net/process/taskhost.exe.html 
Taskhost.exe is a Windows core system file. The program is not visible. Taskhost.exe is a Microsoft signed file. Therefore the technical security rating is 6% dangerous, but you should also take into account the user reviews.","If taskhost.exe is located in a subfolder of the user's profile folder, the security rating is 75% dangerous. The file size is 126,976 bytes (6% of all occurrences), 193,024 bytes and 55 more variants. There is no information about the author of the file. The program has no visible window. The software starts upon Windows startup (see Registry key: Run, MACHINE\Run, User Shell Folders, MACHINE\User Shell Folders, DEFAULT\Run). The file is not a Windows core file. Taskhost.exe is able to record keyboard and mouse inputs, monitor applications and manipulate other programs.
If taskhost.exe is located in a subfolder of ""C:\Program Files"", the security rating is 72% dangerous. The file size is 8,638,464 bytes (23% of all occurrences), 456,192 bytes and 13 more variants. The taskhost.exe file is not a Windows system file. The program is not visible. There is no information about the author of the file. The application starts when Windows starts (see Registry key: Run, MACHINE\Run, User Shell Folders, MACHINE\User Shell Folders, DEFAULT\Run). Taskhost.exe is able to monitor applications and manipulate other programs.
If taskhost.exe is located in a subfolder of C:\Windows, the security rating is 78% dangerous. The file size is 14,848 bytes (66% of all occurrences), 1,736,704 bytes, 1,887,232 bytes or 134,424 bytes.
If taskhost.exe is located in the C:\Windows folder, the security rating is 52% dangerous. The file size is 299,008 bytes.
If taskhost.exe is located in a subfolder of ""C:\Program Files\Common Files"", the security rating is 50% dangerous. The file size is 2,076,672 bytes (33% of all occurrences), 2,012,672 bytes, 2,013,184 bytes, 2,102,272 bytes or 2,102,784 bytes.
If taskhost.exe is located in a subfolder of C:\, the security rating is 73% dangerous. The file size is 5,120 bytes (33% of all occurrences), 386,048 bytes or 4,291,584 bytes.
If taskhost.exe is located in the user's profile folder, the security rating is 88% dangerous. The file size is 461,824 bytes (50% of all occurrences) or 118,784 bytes.
If taskhost.exe is located in the Windows folder for temporary files, the security rating is 77% dangerous. The file size is 140,288 bytes (50% of all occurrences) or 418,642 bytes.
If taskhost.exe is located in the C:\Windows\System32\drivers folder, the security rating is 64% dangerous. The file size is 92,160 bytes.
If taskhost.exe is located in a subfolder of the user's ""Documents"" folder, the security rating is 60% dangerous. The file size is 742,400 bytes.
If taskhost.exe is located in a subfolder of Windows folder for temporary files, the security rating is 44% dangerous. The file size is 141,824 bytes."
Taskhostex.exe,Task Host Explorer,,,,,,"The genuine taskhostex.exe file is a software component of Microsoft Windows by Microsoft.
Windows is an operating system. Process Explorer is a freeware task manager for Windows operating systems. Taskhostex.exe enables the Task Host Explorer component of Process Explorer, and does not pose a threat to your PC.

Released 32 years ago, Windows is a range of graphical operating systems developed by Microsoft. It is available in 138 languages and in several different versions, with the latest being Windows Server 2016 for server computers, and Windows 10 for PCs, tablets, smartphones and embedded devices. Process Explorer is a freeware task manager and system monitor that provides the functionality for Windows Task Manager and also offers several other features such as hierarchical view of processes and the ability to suspend selected processes.","Taskhostex.exe is an important part of Windows, but often causes problems. Taskhostex.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 66,632 bytes (50% of all occurrences) or 67,656 bytes. https://www.file.net/process/taskhostex.exe.html 
The taskhostex.exe file is a Windows system file. The taskhostex.exe file is a Microsoft signed file. The program has no visible window. Therefore the technical security rating is 10% dangerous; but you should also compare this rating with the user reviews.",
taskhostw.exe,Task's Host for Windows,,,,,,"The genuine taskhostw.exe file is a software component of Windows service start manager by Microsoft.
Taskhostw.exe is part of the Windows 10 operating system, and starts DLL-based Windows services when the computer boots up. Thus, Windows 10 uses the taskhostw.exe file as a host for processes that execute as part of a DLL file rather than through an EXE. Like an executable DLL, a DLL contains executable code and resources that can be shared. This host process for Windows tasks indicates the Windows version, since the file name under Windows 7 is taskhost.exe and under Windows 8 taskhostex.exe. To see all the DLL's that have been loaded by taskhostw.exe, open a cmd window and enter the command tasklist /M /FI ""IMAGENAME eq taskhostw.exe"".","The original taskhostw.exe from Microsoft is an important part of Windows, but often causes problems. Taskhostw.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 71,792 bytes (50% of all occurrences), 71,280 bytes or 71,848 bytes. https://www.file.net/process/taskhostw.exe.html 
The taskhostw.exe file is a Windows system file. It is a trustworthy file from Microsoft. The program has no visible window. Therefore the technical security rating is 5% dangerous; however you should also read the user reviews.","If taskhostw.exe is located in a subfolder of ""C:\Program Files"", the security rating is 69% dangerous. The file size is 1,705,984 bytes (66% of all occurrences) or 1,113,088 bytes. The program has no visible window. It is not a Windows system file. Taskhostw.exe is able to record keyboard and mouse inputs, monitor applications and manipulate other programs.
If taskhostw.exe is located in a subfolder of the user's profile folder, the security rating is 81% dangerous. The file size is 1,576,960 bytes (33% of all occurrences), 1,379,328 bytes or 1,385,980 bytes. There is no description of the program. The program is not visible. It is not a Windows core file. Taskhostw.exe is able to monitor applications."
TiWorker.exe,Windows Update Trusted Installer Worker Process,,,,,,"The genuine TiWorker.exe file is a software component of Microsoft Windows by Microsoft Corporation.
""Tiworker.exe"" is by Microsoft. Its parent process is ""TrustedInstaller.exe"". Both reside in ""C:\Windows\servicing"" and are part of the Windows Module Installer Service. They apply Windows Update packages to the ""C:\Windows\WinSxS"" component store to update OS components rather than individual files. They also update the hard links into the component store found in ""C:\Windows\System32"" and other Windows OS directories so that Windows runs the updated component(s). Because the CPU usage of ""Tiworker.exe"" when it runs just after booting up is sometimes high, online advice to disable it is frequent. It should not be disabled, deleted, or uninstalled. That will prevent proper installation of Windows Update files, which may prevent crucial security updates. (The WannaCry ransomware exploited a bug fixed in an update two months before it appeared.) Microsoft Corporation introduced ""side-by-side assembly"" in Windows Vista to mitigate a developing DLL version conflict problem in Windows XP.","TiWorker.exe is not essential for Windows and will often cause problems. The TiWorker.exe file is located in a subfolder of C:\Windows (primarily C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.3.9600.17709_none_fa7932f59afc2e40\ or C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.3.9600.17477_none_fa2b7d3b9b36c7b4\). Known file sizes on Windows 10/8/7/XP are 193,024 bytes (23% of all occurrences), 199,168 bytes and 22 more variants. https://www.file.net/process/tiworker.exe.html 
The program has no visible window. The TiWorker.exe file is not a Windows system file. The TiWorker.exe file is a trustworthy file from Microsoft. Therefore the technical security rating is 15% dangerous; however you should also read the user reviews.",
userinit.exe,User Initialization,%SystemRoot%\Windows\System32\userinit.exe,,,,,"The genuine userinit.exe file is a software component of Microsoft Windows by Microsoft.
Windows is an operating system. Winlogon is a Windows user logon manager. Userinit.exe is the file responsible for executing logon scripts, reestablishing network connections and then starting Explorer.exe, and is a safe file for your PC.

Winlogon is an essential component of the Windows series of operating systems that handles the secure loading of a user profile at the time of login. Further, it is responsible for several interface functions, implements time-out operations and provides a set of support functions for Windows versions prior to Windows Vista. The responsibilities of Winlogon include standard SAS recognition, Windows station and desktop protection, SAS routine dispatching, user profile loading, screen saver control and assignment of security to user shell.","The original userinit.exe from Microsoft is an important part of Windows, but often causes problems. The file userinit.exe is located in the C:\Windows\System32 folder or sometimes in a subfolder of C:\Windows. Known file sizes on Windows 10/8/7/XP are 26,624 bytes (46% of all occurrences), 26,112 bytes and 9 more variants. https://www.file.net/process/userinit.exe.html 
The program has no visible window. Userinit.exe is a trustworthy file from Microsoft. Therefore the technical security rating is 9% dangerous, however you should also read the user reviews.","If userinit.exe is located in the C:\Windows folder, the security rating is 75% dangerous. The file size is 112,128 bytes (19% of all occurrences), 69,632 bytes and 13 more variants. There is no description of the program. The file is not a Windows system file. The program is not visible. The file is located in the Windows folder, but it is not a Windows core file. The software starts when Windows starts (see Registry key: Userinit, MACHINE\Run, Run). Userinit.exe is able to record keyboard and mouse inputs and monitor applications.
If userinit.exe is located in a subfolder of C:\, the security rating is 46% dangerous. The file size is 222,208 bytes. The program has a visible window. The application has no file description. The program starts upon Windows startup (see Registry key: Userinit, MACHINE\Run, Run). The userinit.exe file is not a Windows core file. userinit.exe appears to be a compressed file."
wininit.exe,Windows Initialization,%SystemRoot%\System32\wininit.exe,"Created by an instance of smss.exe that exits, so tools usually do not provide the parent process name.",One,Local System,Within seconds of boot time for the master instance,"The genuine wininit.exe file is a software component of Microsoft Windows by Microsoft.
Microsoft Windows is an operating system. Windows Initialization is a background application launcher for the Windows OS. Wininit.exe is responsible for running the Windows Initialization process. This is an essential Windows file and should not be removed.

Windows Initialization is a launcher for most background system applications that are consistently running. It is a critical Windows process for the operating system to function properly, and removing it may cause system errors. Additionally, it creates the %windir%\temp folder, starts Lsm.exe (Local Session Manager), creates Services.exe (Service Control Manager or SCM) and a window station (Winsta0).","The original wininit.exe from Microsoft is an important part of Windows, but often causes problems. Wininit.exe is located in the C:\Windows\System32 folder. Known file sizes on Windows 10/8/7/XP are 96,256 bytes (83% of all occurrences), 96,768 bytes and 13 more variants. https://www.file.net/process/wininit.exe.html 
Wininit.exe is a Windows system file. The program has no visible window. Wininit.exe is a trustworthy file from Microsoft. Wininit.exe is able to record keyboard and mouse inputs and manipulate other programs. Therefore the technical security rating is 3% dangerous, but you should also take into account the user reviews.","If wininit.exe is located in the C:\Windows folder, the security rating is 66% dangerous. The file size is 3,301,910 bytes (52% of all occurrences), 3,299,862 bytes and 4 more variants. Wininit.exe is not a Windows system file. The file is a file with no information about its developer. The file is an unknown file in the Windows folder. The program has no visible window. Wininit.exe is able to record keyboard and mouse inputs and monitor applications.
If wininit.exe is located in a subfolder of C:\Windows, the security rating is 85% dangerous. The file size is 3,559,424 bytes (26% of all occurrences), 3,453,952 bytes and 8 more variants. It is an unknown file in the Windows folder. The program has no visible window. Wininit.exe is not a Windows system file. There is no information about the author of the file. The application uses ports to connect to or from a LAN or the Internet.
If wininit.exe is located in a subfolder of the user's profile folder, the security rating is 82% dangerous. The file size is 668,672 bytes (20% of all occurrences), 233,472 bytes, 4,072,960 bytes, 264,192 bytes or 1,375,232 bytes.
If wininit.exe is located in a subfolder of ""C:\Program Files"", the security rating is 83% dangerous. The file size is 152,064 bytes (25% of all occurrences), 222,720 bytes, 270,848 bytes or 84,992 bytes."
